id,level,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers,description,rationale
6b,cell subtype,Pharyngeal arch mesenchyme (p1-p2),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0, E8.5",47310,"Twist1, Prrx1, Barx1, Col23a1, Mecom, Cped1, Bmpr1b, Gpc3, Fli1, Cdh11","Barx1, Stk26, Gpc3, Sema3a, Unc5c, Dlk1, Mab21l2, Bmpr1b, Ptn, Lrba","Pharyngeal arch mesenchyme (p1-p2) comprises neural crest-derived mesenchymal cells that populate the first and second pharyngeal (branchial) arches during mid-gestation mouse development. These cells give rise to much of the craniofacial skeleton, including the jaw (mandible and maxilla from arch 1) and hyoid apparatus (from arch 2), as well as associated connective tissues, tendons, and smooth muscle. Their appearance from E8.5 through E10.0 is consistent with the timeline of cranial neural crest migration into the anterior arches.","The designation as pharyngeal arch mesenchyme is strongly supported by global markers such as Twist1 and Prrx1, core transcription factors of cranial neural crest-derived mesenchyme, along with Fli1 and Cdh11, which mark migratory and condensing mesenchymal populations. The specific assignment to arches 1 and 2 (p1-p2) is principally justified by Barx1, which appears as both the top global and top local marker; Barx1 is a homeobox transcription factor with well-characterized restricted expression in the mesenchyme of the first and second pharyngeal arches but not more posterior arches. Additional local markers reinforce this anterior arch identity, including Mab21l2, which is required for proper first-arch morphogenesis, and Sema3a, which guides cranial nerve patterning around the anterior arches. BMP signaling components (Bmpr1b) and extracellular matrix genes (Gpc3, Ptn) further reflect the active mesenchymal differentiation and signaling environment characteristic of the early pharyngeal arch primordia."
6c,cell subtype,Pharyngeal arch mesenchyme (p3-p4),Pharyngeal arch mesenchyme,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",14867,"Crabp1, Twist1, Prrx1, Col23a1, Mecom, Cped1, Nr2f1, Gpc5, Meis2, Fli1","Meis1, Meis2, Zfp503, Mecom, Meox1, Dcc, Gpc5, Slit2, Hoxb2, Foxp2","Pharyngeal arch mesenchyme (p3-p4) consists of neural crest-derived mesenchymal cells that populate the third and fourth pharyngeal arches during mid-embryogenesis. These arches give rise to skeletal and connective tissue elements of the lower jaw, hyoid, laryngeal cartilages, and associated vasculature including the great arteries. Appearing from E9.0 onward, this population is actively differentiating and being patterned by combinatorial Hox codes and retinoic acid signaling that distinguish it from more rostral arch mesenchyme.","The assignment to caudal pharyngeal arches (p3-p4) rather than rostral arches is strongly supported by Hoxb2, a local marker whose expression in neural crest-derived mesenchyme defines the third arch and beyond, distinguishing this population from Hox-negative first arch and Hoxa2-expressing second arch mesenchyme. Nr2f1 (COUP-TFI) and Mecom further reinforce a caudal arch identity, as both are preferentially expressed in posterior pharyngeal mesenchyme and are required for proper third and fourth arch development. The broad cranial mesenchyme markers Twist1, Prrx1, and Crabp1 confirm the neural crest mesenchymal character of this population, while Meis1 and Meis2 — TALE-class homeodomain factors enriched in posterior arches — along with Foxp2 and Zfp503, provide additional specificity for the p3-p4 domain over neighboring subtypes."
7,cell type,Trigeminal ganglion neuron,Trigeminal ganglion neuron,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",2806,"Thsd7b, Tubb3, Neurod1, Cadm1, Hmx1, Ppp1r14a, Tmsb4x, Ebf1, Eya2, Cotl1","Hmx1, Tnik, Ncam2, Ndst3, Edil3, Pde4b, Nrp1, Ddah1, Igfbp2, Synpo","Trigeminal ganglion neurons are sensory neurons of the trigeminal (cranial nerve V) ganglion, the largest cranial ganglion, which relays somatosensory information—including touch, pain, and temperature—from the face, oral cavity, and anterior cranium. Derived from both cranial neural crest and ectodermal placodes, these neurons begin differentiating and extending peripheral and central projections during E9.5–E10.0 in the mouse.","The neuronal identity of this cluster is firmly established by the pan-neuronal marker Tubb3 and the proneural transcription factor Neurod1, both top global markers essential for sensory neuron differentiation. Trigeminal ganglion identity is strongly supported by Hmx1, the top local marker and a transcription factor with highly restricted expression in the trigeminal and other cranial sensory ganglia during this developmental window. Additional markers reinforce a maturing sensory neuron signature: Ebf1 drives cranial sensory ganglion neurogenesis, Eya2 is a characteristic marker of placode-derived cranial ganglia, and Nrp1 encodes a semaphorin co-receptor critical for trigeminal axon guidance. The neural crest lineage assignment and cell-adhesion molecules Cadm1 and Ncam2 are consistent with the dual neural crest–placodal origin of the trigeminal ganglion."
8,cell type,Autonomic neuron,Autonomic neuron,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",622,"Phox2b, Cdkn1c, Ascl1, Nefl, Nefm, Tubb3, Tlx2, Srrm4, Cthrc1, Sox2ot","Id3, Tlx2, Sox2ot, Ascl1, Tspan18, Cthrc1, Id1, Tfap2b, Tanc2, Cdkn1c","Autonomic neurons are neural crest-derived neurons that give rise to the sympathetic, parasympathetic, and enteric divisions of the autonomic nervous system. Emerging at E9.5–E10.0, these cells have delaminated from the neural crest, migrated to target sites such as the sympathetic ganglia, and begun terminal neuronal differentiation, as reflected by their expression of neurofilament genes and cell cycle exit markers.","The name is strongly supported by Phox2b, the master transcription factor required for specification of all autonomic neuron lineages, together with Ascl1, a proneural factor essential for sympathetic neurogenesis. Tlx2, expressed in sympathetic and enteric neuron precursors, and Tfap2b, involved in sympathetic ganglion development, further confirm autonomic identity. Co-expression of the neuronal maturation markers Nefl, Nefm, and Tubb3 alongside the cell cycle inhibitor Cdkn1c indicates these are post-mitotic differentiating neurons rather than progenitors. The local markers Id1 and Id3, downstream effectors of BMP signaling that drives sympathetic specification from neural crest, help distinguish this population from related neural crest-derived cell types."
9,cell type,Autonomic progenitor,Autonomic progenitor,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",5462,"Cdh6, Crabp1, Tfap2b, Phox2b, Zeb2, Sntb1, Spon1, Lmo4, Cdh19, Ets1","Phox2b, Cdkn1c, Sox2ot, Ascl1, Sntb1, Peg10, Nell2, Fgf13, Spon1, Tshz2","Autonomic progenitors are neural crest-derived precursor cells that give rise to the neurons and glia of the autonomic nervous system, including the sympathetic, parasympathetic, and enteric divisions. Emerging at E9.5–E10.0 as migrating neural crest cells coalesce at sites of future ganglia, these progenitors undergo specification toward autonomic fates and begin exiting the cell cycle to initiate neuronal differentiation.","The designation ""Autonomic progenitor"" is strongly supported by the expression of Phox2b, the master transcription factor required for specification of all autonomic lineages, which appears as the top local marker and a prominent global marker. The local marker Ascl1 (Mash1) encodes a proneural factor essential for sympathetic and enteric neurogenesis, and together with Phox2b defines the core autonomic specification program. Broader neural crest identity is confirmed by global markers such as Tfap2b, Zeb2, Ets1, and Crabp1, which are characteristic of migrating and early-differentiating cranial and trunk neural crest populations. The presence of Cdkn1c among local markers suggests cells transitioning from proliferative progenitor to postmitotic neuronal states, consistent with a progenitor population poised for but not yet having completed terminal autonomic differentiation."
10,cell type,Dorsal root ganglion neuron,Dorsal root ganglion neuron,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",2691,"Tubb3, Thsd7b, Pou4f1, Ppp1r14a, Cadm1, Neurod1, Isl1, Tmsb4x, Nav2, Ebf1","Crabp1, Crabp2, Hmx1, Hoxb8, Hoxb6, Hoxb9, Pou4f1, Hoxb4, Hoxc4, Dcc","Dorsal root ganglion (DRG) neurons are neural crest-derived sensory neurons that coalesce into ganglia flanking the spinal cord and relay somatosensory information—touch, pain, temperature, and proprioception—from the periphery to the central nervous system. Appearing from E9.0 onward, these cells represent newly differentiated sensory neurons emerging as trunk neural crest condenses into segmentally organized ganglia during mid-gestation mouse development.","The global marker Pou4f1 (Brn3a) is a canonical transcription factor required for DRG sensory neuron survival and differentiation, while Isl1 and Neurod1 are co-expressed during sensory neurogenesis and together define the committed DRG neuron fate. Tubb3 confirms post-mitotic neuronal identity, and Ebf1 contributes to DRG subtype specification. The local markers are particularly informative: the trunk-level Hox code (Hoxb4, Hoxb6, Hoxb8, Hoxb9, Hoxc4) establishes spinal-level positional identity consistent with DRG neurons rather than cranial sensory ganglia, while Dcc (a netrin receptor mediating axon guidance) and Hmx1 (expressed in specific DRG neuron subpopulations) further distinguish these cells from other neural crest derivatives such as melanocytes or mesenchyme. Crabp1 and Crabp2, which mediate retinoic acid signaling in neural crest lineages, reflect the developmental origin of these neurons from migrating trunk neural crest."
11,cell type,Dorsal root ganglion progenitor,Dorsal root ganglion progenitor,Neural crest,Neural crest,Ectoderm,"E9.5, E10.0",1703,"Ppp1r14a, Cadm1, Srrm4, Crabp2, Dcc, Pou4f1, Eya2, Tmsb4x, Galnt18, Nrp1","Crabp2, Dcc, H1f5, Top2a, Igfbpl1, Plk2, Gadd45g, Mki67, H1f4, Crabp1","Dorsal root ganglion (DRG) progenitors are neural crest-derived precursor cells that give rise to the sensory neurons of the dorsal root ganglia, which flank the developing spinal cord. Present at E9.5–E10.0, these progenitors are actively proliferating and beginning to commit to a somatosensory neuron fate, ultimately producing the neurons responsible for relaying pain, touch, temperature, and proprioceptive information from the periphery to the central nervous system.","The sensory neuron identity of this cluster is anchored by Pou4f1 (Brn3a), a POU-domain transcription factor that is a definitive marker of DRG sensory neurons essential for their survival and differentiation, along with the axon guidance receptors Dcc and Nrp1, which direct sensory neuron projections during development. Crabp1 and Crabp2, both prominent in the global and local marker lists, encode retinoic acid-binding proteins characteristic of neural crest derivatives and strongly expressed in the developing DRG. The progenitor designation is supported by local markers Top2a and Mki67, which indicate active proliferation, alongside Gadd45g, a cell-cycle exit gene associated with the transition from progenitor to postmitotic neuron during neurogenesis. Together, the co-expression of definitive DRG sensory neuron specification genes with proliferation markers distinguishes these cells as committed but still-dividing DRG progenitors rather than mature sensory neurons."
12,cell type,Sacral neural crest,Sacral neural crest,Neural crest,Neural crest,Ectoderm,"E9.0, E9.5, E10.0",3567,"Pax3, Tfap2b, Sox9, Ets1, Cdh6, Mest, Foxd3, Sox5, Slc35f1, Hoxb9","Sox9, Pak3, Greb1l, Hoxc10, Slc35f1, Tanc2, Dmd, Aldh1a2, Plagl1, Ccn1","Sacral neural crest cells are a posterior neural crest population arising from the sacral (caudal) level of the neural tube during mid-to-late organogenesis. These cells undergo epithelial-to-mesenchymal transition and migrate into surrounding tissues, where they contribute to the enteric nervous system of the hindgut, pelvic ganglia, and posterior mesenchymal derivatives. Their emergence at E9.0–E10.0 is consistent with the temporal window in which sacral-level neural crest delamination and migration occur in the mouse embryo.","The core neural crest identity of this population is established by global markers including the specifiers Pax3, Foxd3, and Tfap2b, along with the migratory and ectomesenchymal regulators Ets1, Sox9, and Sox5. The sacral (posterior) axial identity is defined by the posterior Hox genes Hoxb9 among global markers and, critically, Hoxc10 among local markers—Hoxc10 is expressed at lumbar-to-sacral levels and distinguishes this population from more anterior neural crest subtypes. Additional local markers reinforce this assignment: Aldh1a2 encodes a retinoic acid-synthesizing enzyme active in posterior patterning, and Greb1l has been linked to neural crest-derived kidney and ear development with mutations causing phenotypes associated with caudal neural crest defects. Together, the combination of pan-neural crest transcription factors with a posterior Hox code supports the designation as sacral neural crest."
13,cell type,Trunk neural crest,Trunk neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",11543,"Cdh6, Dcc, Tfap2b, Crabp2, Hoxb9, Metrn, Rbms3, Plp1, Pax3, Foxd3","Hoxb9, Hoxb8, Hoxa7, Hoxc6, Tshz2, Tmem132c, Hoxb5os, Hoxc8, Hoxa9, Dcc","Trunk neural crest cells are a migratory neural crest population originating from the post-otic axial levels of the closing neural tube, primarily giving rise to sensory and autonomic neurons of the peripheral nervous system, Schwann cell precursors, and melanocytes. Emerging from E8.5 onward in this dataset, they migrate along characteristic ventral and dorsolateral pathways adjacent to somites and are distinguished from cranial neural crest by their more posterior origin and restricted differentiation potential.","The designation ""trunk neural crest"" is strongly supported by the local marker profile, which is dominated by posterior Hox genes—Hoxb9, Hoxb8, Hoxa7, Hoxc6, Hoxc8, and Hoxa9—establishing a trunk-level axial identity (approximately somite 8 and caudal) that clearly distinguishes these cells from cranial or vagal neural crest populations. Global markers confirm core neural crest identity through Foxd3 and Tfap2b, two transcription factors essential for neural crest specification and maintenance, alongside Pax3, which marks the dorsal neural tube and early delaminating neural crest. Additional global markers such as Plp1 (a marker of Schwann cell precursors and glia), Crabp2 (retinoic acid signaling, active in trunk neural crest migration), and Dcc (axon guidance receptor expressed in migrating neural crest) reflect the migratory and differentiating states characteristic of trunk-level neural crest cells."
14,cell type,Vagal neural crest,Vagal neural crest,Neural crest,Neural crest,Ectoderm,"E8.5, E9.0, E9.5, E10.0",9686,"Cdh6, Crabp1, Tfap2b, Crabp2, Metrn, Zeb2, Dcc, Ednrb, Tnik, Sox10","Hoxb4, Rarb, Rbp1, Tshz2, Crabp1, Spon1, Nrp1, Sfrp5, Tshz1, Hoxb3","Vagal neural crest cells are a migratory neural crest population originating from the post-otic hindbrain at somite levels 1–7. They give rise to the enteric nervous system of the gut, contribute to cardiac outflow tract septation, and populate pharyngeal arch–derived structures. These cells emerge during mid-somitogenesis and are essential for proper innervation and patterning of the developing gastrointestinal tract.","The vagal axial identity of this population is established by the local markers Hoxb3 and Hoxb4, which define the posterior hindbrain region from which vagal neural crest emigrates. A prominent retinoic acid signaling signature—including Crabp1, Crabp2, Rarb, and Rbp1—is consistent with the known dependence of vagal neural crest specification on retinoic acid gradients along the anterior-posterior axis. Global markers Sox10 and Tfap2b confirm broad neural crest identity, while Ednrb and Zeb2 specifically implicate enteric nervous system precursors, as loss of either gene causes Hirschsprung disease–like aganglionosis in mice. Additional local markers such as Sfrp5, Nrp1, and Tshz1 further support a gut-colonizing migratory population, distinguishing these cells from cranial or trunk neural crest subtypes."
