source,target,value,norm_value,z_score,norm_value_var,p_value,source_n,target_n,top5_for,proposed_explanation,novelty
Allantois,Hindbrain (r1),5.412843436518361,-0.1967418532483872,-2.4652509203181427,0.00020411390912648797,0.07,78,16440,,,
Allantois,Hindbrain (r2-r4),5.463267014286187,-0.24472709828228734,-2.806611520699459,0.0005725098217981906,0.11,78,26863,,,
Allantois,Hindbrain (r5-r8),5.397309874910348,-0.34770550950909157,-3.6801142804635223,0.002288644235759533,0.0,78,28972,,,
Allantois,Hindgut,4.981022834667901,-0.012871660440815447,-0.22220274640630208,0.00039063056744635465,1.0,78,3029,,,
Allantois,Hindlimb field,6.108125490213841,0.6677947235041906,6.970100151869745,0.015269061450589854,0.0,78,6150,Allantois; Hindlimb field,Both arise from posterior primitive-streak-derived caudal mesoderm — the Tbx4/Isl1-expressing posterior lateral-plate/extraembryonic mesoderm pool that produces the allantois and the hindlimb field.,3
Allantois,Hypaxial myogenic progenitor,5.2534739047493675,-0.2583676596793178,-2.7154270614816256,0.014642082276275614,0.03,78,5322,,,
Allantois,Hypothalamic neuron,5.101402220437232,-0.23698290810046382,-2.703470349314571,0.004528534155477007,0.05,78,1528,,,
Allantois,Hypothalamus,5.1383985482805254,-0.21998033606991166,-2.228685730882979,0.010083281403871169,0.18,78,7652,,,
Allantois,Intermediate mesoderm,5.681185784872221,0.047624747322590956,0.7002475358502843,0.010031890390866521,0.96,78,10656,,,
Allantois,Juxtacardiac field,5.0656444800793645,-0.08672187364288024,-1.2739420027245114,0.02470922031753239,0.96,78,1386,,,
Allantois,Lens placode,5.4262332538824465,0.21938916688509824,2.249947604796009,0.00518374136809574,0.07,78,2811,,,
Allantois,Macrophage,4.610929450664102,-0.18848442132545884,-1.0083402075722456,0.11749590775954447,0.62,78,966,,,
Allantois,Megakaryocyte,4.773310306528188,-0.16132692990104966,-1.7884073488787715,0.0023982025540979406,0.15,78,482,,,
Allantois,Mesothelium,5.034731163876045,-0.08518923263940052,-0.8054999202339039,0.019829424359134804,0.48,78,346,,,
Allantois,Midbrain,5.320250665372548,-0.24244944090629605,-2.698888875340058,0.0034977340632221655,0.1,78,21466,,,
Allantois,Midbrain neuron,5.339100924934982,-0.20738069564677483,-2.323965216037019,0.014217433289873538,0.56,78,4463,,,
Allantois,Midgut,4.815810699384893,-0.1830511012848799,-2.387222287130437,0.005770745145355553,0.06,78,1667,,,
Allantois,Myotome,5.18738916036349,-0.33197073970485125,-3.938051215835479,0.006079753417646782,0.0,78,2201,,,
Allantois,Nascent somite,5.343728208240833,-0.23746521685597757,-2.6250109359957285,0.00258676417783912,0.06,78,6475,,,
Allantois,Notochord,4.91926638192769,-0.1495093723255906,-2.0177897487144794,0.018278203146757394,0.34,78,956,,,
Allantois,Olfactory placode,5.514568482730643,0.2116222493066188,2.296296971829924,0.006043833466908987,0.05,78,5872,,,
Allantois,Olfactory sensory neuron,4.9913547530689195,-0.09122614152003579,-0.7078428771190387,0.011460443935214696,0.68,78,389,,,
Allantois,Otic placode,5.370730722161215,0.20052932398357606,1.8032666630232395,0.020696773616250615,0.46,78,2365,,,
Allantois,Otic sensory neuron,5.253298908269417,0.18943263224376553,1.5161375963877013,0.06467942809832883,0.95,78,974,,,
Allantois,Periocular mesoderm,4.952127573385082,-0.019667485525837414,-0.04421215184962923,0.05444699122017182,0.67,78,1739,,,
Allantois,Pharyngeal arch mesenchyme,5.620652445987209,0.03743175994164331,0.26891347673414945,0.009421685704193074,0.99,78,39085,,,
Allantois,Pharyngeal endoderm,5.026471177417023,-0.11931591403268064,-1.7279093765156706,0.01893738685737835,0.61,78,5045,,,
Allantois,Pharyngeal mesoderm,5.330897549321579,-0.008740805117137818,-0.3445886429031559,0.008150277235427612,0.71,78,7691,,,
Allantois,Presomitic mesoderm,5.306356133475177,-0.3085889748691457,-3.5603403396300415,0.0007197472705535958,0.03,78,8521,,,
Allantois,Primordial germ cell,4.618690604847173,0.17555579658353038,0.9931865063805289,0.010462482067037546,0.45,65,25,,,
Allantois,Roof plate,5.529509200881925,-0.09831678827045091,-0.9450304521865238,0.0053689889324456215,0.93,78,6035,,,
Allantois,Sacral neural crest,5.276948251264285,-0.08699163677415456,-0.6393992534093697,0.008106002539609523,0.69,78,2156,,,
Allantois,Sclerotome,5.468590685038968,-0.3290952558570576,-3.599850080139413,0.0032750754158895187,0.0,78,74334,,,
Allantois,Second heart field,5.428479852234155,0.06613984815561628,0.7722298740859818,0.0014762190611747696,0.67,78,6952,,,
Allantois,Somatic mesoderm,6.71201371361888,0.9234399937199201,10.103828874113713,0.0016892125242005402,0.0,78,66151,Allantois; Somatic mesoderm,"Both arise from posterior primitive-streak/nascent mesoderm, with the allantois forming as an extraembryonic extension of the same lateral-plate (somatopleuric) mesoderm program that produces somatic mesoderm, giving them a shared posterior-mesodermal progenitor origin.",2
Allantois,Somatic motor neuron,5.206850274457492,-0.37685819592587855,-3.68173443846942,0.003575532654255007,0.0,78,6559,,,
Allantois,Spinal cord (cervical),5.391043665961436,-0.38582717471290007,-3.6330468888458256,0.0039909903603308206,0.0,78,41051,,,
Allantois,Spinal cord (lumbar),5.299846712105481,-0.3327922247839708,-3.7696017282714536,0.004156058886546901,0.01,78,12722,,,
Allantois,Spinal cord (sacral),5.285443984348181,-0.28786472431519766,-3.085270367410674,0.004004870031363463,0.12,78,5351,,,
Allantois,Spinal cord (thoracic),5.350159839535504,-0.36458115324564994,-3.639694960848957,0.005457058519279679,0.0,78,35061,,,
Allantois,Spinal cord interneuron,5.474042271468075,-0.38175074201089654,-4.084808137949568,0.000502837385387473,0.01,78,12470,,,
Allantois,Splanchnic mesoderm,6.203597646778054,0.5010533828237795,4.975146968705663,0.009511318921288913,0.0,78,21642,Allantois,"Both derive from posterior primitive-streak-derived lateral plate/extraembryonic mesoderm, with the allantois emerging as an outgrowth of the same posterior splanchnopleuric (visceral lateral plate) mesodermal progenitor pool that gives rise to splanchnic mesoderm.",2
Allantois,Surface ectoderm,5.547340000557164,0.43463682166734746,4.601371167397297,0.0022291995601633383,0.0,78,2649,Allantois,"Allantois (extraembryonic/posterior mesoderm) and surface ectoderm likely share ancestry because both descend from the caudal/posterior epiblast around the primitive streak, where germ-layer segregation occurs late and a common posterior progenitor pool (proximal-posterior epiblast contributing to allantoic mesoderm and adjacent non-neural surface ectoderm) is retained.",4
Allantois,Telencephalon,5.483336753645216,-0.11164955941940462,-1.4102300743943275,0.009625502922356258,1.0,78,34300,,,
Allantois,Trigeminal ganglion neuron,5.405746838425536,0.1550998567615117,1.4205659214176798,0.021120638010303654,0.66,78,1765,,,
Allantois,Trigeminal placode,5.643271903121551,0.2562737886902129,2.856846742701707,0.001133628152008866,0.01,78,6546,,,
Allantois,Trigeminal sensory neuron,5.5223886954796555,0.2345265310546374,2.792308280674408,0.011803459812783045,0.29,78,3198,,,
Allantois,Trunk neural crest,5.327787511101325,-0.13949709615476338,-1.32520265804173,0.010879627585265221,0.85,78,6809,,,
Allantois,Vagal neural crest,5.342634429068313,-0.14100004783269338,-1.3999292331619309,0.004050917328570776,0.39,78,4937,,,
Amniotic ectoderm,Amniotic ectoderm,9.500000000010036,1.3618735768735254e-14,0.00013616832256596666,7.362701782062776e-30,1.0,2288,2288,,,
Amniotic ectoderm,Arterial endothelial cell,5.97250336507885,0.15156345765571574,4.8347046642390445,0.004458261610844832,0.0,2288,645,,,
Amniotic ectoderm,Autonomic neuron,5.303286689654432,-0.017520466122154115,-0.04728228556864677,0.001971514085910525,0.92,2288,142,,,
Amniotic ectoderm,Autonomic progenitor,5.842928072886875,-0.038765650644849124,-1.8267317158691034,0.0015605336732694968,0.85,2288,3416,,,
Amniotic ectoderm,Axial progenitor,5.768139164710248,-0.2996231972333116,-13.686832581501909,0.006387416849012707,0.0,2288,3170,,,
Amniotic ectoderm,Cranial motor neuron,5.604062347321171,-0.3026878691043165,-13.270831917857235,2.2508570783637564e-05,0.0,2288,3730,,,
Amniotic ectoderm,Cranial neural crest,5.973606113545153,-0.1471229055178389,-8.001836334193884,0.00026635576319602273,0.0,2288,9523,,,
Amniotic ectoderm,Dermomyotome,5.952911402396808,-0.4071260625945303,-24.053025677502788,0.0003556780571315121,0.0,2288,47263,,,
Amniotic ectoderm,Diencephalon,5.744176729359853,-0.30219893245249835,-18.138887850358845,0.0008116149826646331,0.0,2288,14353,,,
Amniotic ectoderm,Dorsal root ganglion neuron,5.779308963060466,-0.03982307435046165,-1.2921879404136853,0.000816535547285355,0.41,2288,1179,,,
Amniotic ectoderm,Dorsal root ganglion progenitor,5.816707999683193,-0.021857406852240874,-0.7525051174264542,0.0015013055449098474,0.54,2288,921,,,
Amniotic ectoderm,Endocardial cell,5.776801366601589,-0.00546770768248835,0.03232898368269913,0.011364727682711448,0.95,2288,1558,,,
Amniotic ectoderm,Endothelial cell,6.175371607088856,-0.05131552983693292,-2.0881351296826813,0.008827252215987857,0.0,2288,9605,,,
Amniotic ectoderm,Endothelial progenitor,5.988405718981468,-0.11627039840962035,-5.499713310587798,0.0006722853004248668,0.0,2288,1988,,,
Amniotic ectoderm,Epibranchial placode,6.681563737556373,1.0006654744487087,43.386309161629036,0.0697833568769072,0.0,2288,3606,Amniotic ectoderm; Epibranchial placode,"Both are epiblast-derived non-neural/surface ectoderm derivatives, so their shared ancestry likely reflects a common pool of early surface-ectoderm progenitors (the non-neural ectoderm domain from which the amnion and the neural-plate-border preplacodal ectoderm giving rise to epibranchial placodes both segregate).",3
Amniotic ectoderm,Epibranchial sensory neuron,6.437055794018357,0.7937297579076835,28.117638406575125,0.0906086417937539,0.0,2288,1270,Amniotic ectoderm,"Both derive from the early proximal/non-neural (surface) ectoderm of the epiblast—amniotic ectoderm buds off this pool during gastrulation while epibranchial sensory neurons arise from cranial (epibranchial placodal) ectoderm at the neural/non-neural border, so they likely share a common epiblast-derived non-neural ectoderm progenitor before amnion and placodal fates diverge.",4
Amniotic ectoderm,Epicardium,5.778376380222794,0.0422588131123988,1.4141999911744978,0.003490425359929873,0.93,2288,1288,,,
Amniotic ectoderm,Epidermal progenitor,7.042248696389972,1.0630905781094668,65.43283631213109,0.0003995261605474041,0.0,2288,24337,Amniotic ectoderm,"Both amniotic ectoderm and epidermal progenitors derive from the same non-neural (surface) ectoderm lineage of the early epiblast, so they share a common Trp63+/Krt8+ surface-ectoderm progenitor pool rather than segregating into distinct germ-layer derivatives.",2
Amniotic ectoderm,Extraembryonic mesoderm,5.860749293885914,0.10351652561257385,5.62402365631604,0.006587317465615175,0.34,2288,5300,,,
Amniotic ectoderm,Eye field,5.6961908777735415,-0.29420932782001863,-16.210066221303332,0.004322614817646191,0.0,2288,8896,,,
Amniotic ectoderm,First heart field,5.712084876852562,-0.07330991671357001,-3.055541797604617,0.000600267527214517,0.03,2288,1531,,,
Amniotic ectoderm,Floor plate,5.6728168401043915,-0.42276685069455383,-22.175872079553866,0.002487213027899396,0.0,2288,16788,,,
Amniotic ectoderm,Foregut,5.424038666790779,-0.15672693920921077,-8.85576213790076,0.00970455008711243,0.0,2288,2432,,,
Amniotic ectoderm,Forelimb field,5.900501314377173,-0.11548058415963929,-6.908544380995308,0.002304471227088427,0.0,2288,25891,,,
Amniotic ectoderm,Frontonasal mesenchyme,5.984522959633776,-0.036107543353305495,-1.5272334202053057,0.006542788263483026,0.57,2288,24672,,,
Amniotic ectoderm,Head paraxial mesoderm,5.879681515719203,-0.10978097392728525,-7.219201219574486,0.0012271062618929647,0.0,2288,32981,,,
Amniotic ectoderm,Hematopoietic progenitor,5.320101422828377,0.09924562758593473,1.2211062562582478,0.006060275595209879,0.73,2288,87,,,
Amniotic ectoderm,Hemogenic endothelium,5.630015114550525,0.191553961154737,3.2498251832654823,0.024174604599664813,0.8,2288,141,,,
Amniotic ectoderm,Hepatoblast,5.392232745737047,-0.06593117739047294,-4.166738277057942,0.02236971849365555,0.41,2288,1255,,,
Amniotic ectoderm,Hindbrain (isthmic organizer),5.7060895206154205,-0.31178831709504795,-16.611812819812,0.002447750587256509,0.0,2288,3921,,,
Amniotic ectoderm,Hindbrain (r1),5.800390211057742,-0.3431988141570678,-21.264559376610507,0.0016488606690018433,0.0,2288,16440,,,
Amniotic ectoderm,Hindbrain (r2-r4),5.883083908030485,-0.35940338410611766,-21.388199538953174,0.005375057969844559,0.0,2288,26863,,,
Amniotic ectoderm,Hindbrain (r5-r8),5.8488582492338095,-0.4202459560165641,-25.020684444862514,0.0012583864680907816,0.0,2288,28972,,,
Amniotic ectoderm,Hindgut,5.387255600684932,-0.14019090754896593,-7.2607812403223555,0.01252652506420818,0.35,2288,3029,,,
Amniotic ectoderm,Hindlimb field,6.0813394507436165,0.10540493279320362,5.957789035800752,0.003164819395704298,0.01,2288,6150,,,
Amniotic ectoderm,Hypaxial myogenic progenitor,5.759110956270091,-0.2916955417050963,-15.646069115881247,0.003390644499275402,0.0,2288,5322,,,
Amniotic ectoderm,Hypothalamic neuron,5.616239707148247,-0.2605323883470714,-10.530134254735307,0.0009022675959402316,0.0,2288,1528,,,
Amniotic ectoderm,Hypothalamus,5.6228268492104805,-0.27434223994386464,-15.712673789960315,0.0034488785723550725,0.0,2288,7652,,,
Amniotic ectoderm,Intermediate mesoderm,5.9674954065726835,-0.2085929964223192,-10.822580607281752,0.0006525557419017163,0.0,2288,10656,,,
Amniotic ectoderm,Juxtacardiac field,5.738055697439102,0.0531076020087499,1.3982738513443396,0.011940110476391787,0.0,2288,1386,,,
Amniotic ectoderm,Lens placode,6.270813686731088,0.5219826837816223,23.509348046796543,0.03814328674711673,0.0,2288,2811,Amniotic ectoderm,Both derive from epiblast-descended non-neural (surface) ectoderm — the amniotic ectoderm and the pre-placodal cranial surface ectoderm that gives rise to the lens placode share a common Tfap2/Krt+ squamous ectodermal progenitor pool set aside early rather than committing to neural fate.,3
Amniotic ectoderm,Macrophage,5.479056820046459,0.1272264138366094,3.452025777349951,0.05755730688150667,0.65,2288,966,,,
Amniotic ectoderm,Megakaryocyte,5.4216527828619006,-0.04485033797756177,-1.071261405778506,0.013974562127676875,0.68,2288,482,,,
Amniotic ectoderm,Mesothelium,5.575511306791552,-0.0856593182845596,-1.6545663315531396,0.026436542713829517,0.08,2288,346,,,
Amniotic ectoderm,Midbrain,5.7934092094437775,-0.3162838185470334,-18.710051967517774,0.002133743769817772,0.0,2288,21466,,,
Amniotic ectoderm,Midbrain neuron,5.7777536310260125,-0.2999626150632671,-15.902657120905594,0.0032903000098413937,0.0,2288,4463,,,
Amniotic ectoderm,Midgut,5.323697221685799,-0.20556012509834964,-8.631224031674881,0.015849135636109773,0.0,2288,1667,,,
Amniotic ectoderm,Myotome,5.714470046986391,-0.3360732728988835,-14.735993259667078,0.0013974103952511944,0.0,2288,2201,,,
Amniotic ectoderm,Nascent somite,5.870141330987823,-0.2526436363408931,-13.584576964732065,0.008259584930708299,0.0,2288,6475,,,
Amniotic ectoderm,Notochord,5.4167630146703125,-0.18816118807390372,-7.179647913574317,0.000819402008464318,0.0,2288,956,,,
Amniotic ectoderm,Olfactory placode,6.219086530764694,0.39058050252924037,19.701404115171147,0.028685501613064712,0.0,2288,5872,,,
Amniotic ectoderm,Olfactory sensory neuron,5.782819212180331,0.16262300674279473,4.461408901194452,0.005166504239148665,0.04,2288,389,,,
Amniotic ectoderm,Otic placode,5.992064331860171,0.29600598838162256,12.321070655195308,0.019626727543803686,0.0,2288,2365,,,
Amniotic ectoderm,Otic sensory neuron,5.921048079439525,0.3239320002406781,10.53887850120663,0.027580612206838384,0.0,2288,974,,,
Amniotic ectoderm,Periocular mesoderm,5.472146976518655,-0.03892637470778482,-1.4894763773628175,0.005907139305865681,0.15,2288,1739,,,
Amniotic ectoderm,Pharyngeal arch mesenchyme,6.08049370411316,-0.03701599843890779,-2.0228223962464464,0.00032745594475988636,0.2,2288,39085,,,
Amniotic ectoderm,Pharyngeal endoderm,5.57997120473397,-0.09571173056600409,-6.463771912067853,0.019575782198915252,0.69,2288,5045,,,
Amniotic ectoderm,Pharyngeal mesoderm,5.747715671992744,-0.13313644321350626,-7.736805297340884,0.0016623603591877818,0.0,2288,7691,,,
Amniotic ectoderm,Presomitic mesoderm,5.8543297424320295,-0.28552589841445436,-15.115035493567804,0.011256537504126063,0.0,2288,8521,,,
Amniotic ectoderm,Primordial germ cell,5.224881826951597,0.42212680043114137,3.980330731877794,0.16530062191505812,0.4,1247,25,,,
Amniotic ectoderm,Roof plate,5.950820245459436,-0.22522581718840642,-12.363860962298425,0.0008997456954963054,0.0,2288,6035,,,
Amniotic ectoderm,Sacral neural crest,5.779909660404257,-0.1165029321216468,-4.680608468667425,0.006867744806916286,0.02,2288,2156,,,
Amniotic ectoderm,Sclerotome,5.875437313567784,-0.45871550239632225,-26.95504373751271,0.0021254038883907838,0.0,2288,74334,,,
Amniotic ectoderm,Second heart field,5.950893124055252,0.04891523786513977,3.132266849204663,0.0012219924212944872,0.5,2288,6952,,,
Amniotic ectoderm,Somatic mesoderm,6.436732905376197,0.11836278680587704,7.375974461380153,0.0030981959284582077,0.0,2288,66151,,,
Amniotic ectoderm,Somatic motor neuron,5.67182782783156,-0.44075185908969444,-21.376325267023343,0.0010985184970204941,0.0,2288,6559,,,
Amniotic ectoderm,Spinal cord (cervical),5.890120821252275,-0.42389215719419643,-23.58409800923499,0.00183957399315389,0.0,2288,41051,,,
Amniotic ectoderm,Spinal cord (lumbar),5.848286444923247,-0.3239666870442545,-17.889346443249494,0.006968868032652873,0.0,2288,12722,,,
Amniotic ectoderm,Spinal cord (sacral),5.812625863284372,-0.29241672807641067,-13.099016120337375,0.017959710791373436,0.0,2288,5351,,,
Amniotic ectoderm,Spinal cord (thoracic),5.852466931747215,-0.3950247983714081,-22.3261722895533,0.008746324867387635,0.0,2288,35061,,,
Amniotic ectoderm,Spinal cord interneuron,5.908451843796938,-0.48116560773459643,-25.01315726208165,8.903184031607444e-05,0.0,2288,12470,,,
Amniotic ectoderm,Splanchnic mesoderm,6.241814887680472,0.011154514451545102,1.2523821176165117,0.009897601331181588,0.54,2288,21642,,,
Amniotic ectoderm,Surface ectoderm,6.916888293691258,1.2655555927573638,58.939309013994226,0.006290146653362368,0.0,2288,2649,Amniotic ectoderm; Surface ectoderm,"Both are non-neural squamous ectodermal epithelia derived from the pluripotent epiblast, with amniotic ectoderm arising from posterior/proximal epiblast adjacent to the primitive streak and surface (non-neural) ectoderm from embryonic ectoderm, so they share a recent common epiblast-derived progenitor pool.",2
Amniotic ectoderm,Telencephalon,5.867542968228068,-0.2611436431503608,-16.71933402440609,0.0033443547940394665,0.0,2288,34300,,,
Amniotic ectoderm,Trigeminal ganglion neuron,5.8403800004744575,0.05877612849049404,2.427627873415961,0.0006663456632537463,0.17,2288,1765,,,
Amniotic ectoderm,Trigeminal placode,6.339116121687511,0.4125304376604572,19.956606307699925,0.016798696588583118,0.0,2288,6546,,,
Amniotic ectoderm,Trigeminal sensory neuron,6.231770121956994,0.4067376306118839,18.281426192190008,0.0028301418021906277,0.0,2288,3198,,,
Amniotic ectoderm,Trunk neural crest,5.857453364426135,-0.14844781354232653,-7.705723449284616,0.0026588379842642723,0.0,2288,6809,,,
Amniotic ectoderm,Vagal neural crest,5.883739129909766,-0.13412328561927556,-6.3417530827047095,0.0010748263060362995,0.0,2288,4937,,,
Arterial endothelial cell,Arterial endothelial cell,9.499999999996554,-9.473903143468002e-15,-0.00011248945374041576,1.682903264471492e-29,1.0,645,645,,,
Arterial endothelial cell,Autonomic neuron,5.257462754474282,-0.15362418754159504,-1.1800379224864752,0.07348514220843941,0.45,645,142,,,
Arterial endothelial cell,Autonomic progenitor,5.912803810883776,-0.05696418614498189,-1.66085195111007,0.000786164321759241,0.41,645,3416,,,
Arterial endothelial cell,Axial progenitor,5.919262833316506,-0.23015681359500917,-7.1117788173080525,0.00012714506881899876,0.0,645,3170,,,
Arterial endothelial cell,Cranial motor neuron,5.638634950312407,-0.3568531250263283,-9.167009725731619,0.0005791771979356486,0.0,645,3730,,,
Arterial endothelial cell,Cranial neural crest,5.999115999184642,-0.2058709311279371,-6.583028140302294,0.0011106727156324017,0.0,645,9523,,,
Arterial endothelial cell,Dermomyotome,6.2173448671760765,-0.22770023898248107,-7.332328411532494,0.003544172562398035,0.0,645,47263,,,
Arterial endothelial cell,Diencephalon,5.805081624084998,-0.32447852944630756,-11.502229668682775,0.00021262778472773088,0.0,645,14353,,,
Arterial endothelial cell,Dorsal root ganglion neuron,5.901784760890557,-0.0006776895302689212,-0.015281559343356843,0.003867028441757113,0.67,645,1179,,,
Arterial endothelial cell,Dorsal root ganglion progenitor,5.933950583384174,0.010600803230847925,0.2503883584239951,0.0014368538902856532,0.5,645,921,,,
Arterial endothelial cell,Endocardial cell,6.179167738745697,0.31488375753281755,10.601223488382194,0.004794481017667687,0.0,645,1558,,,
Arterial endothelial cell,Endothelial cell,6.840806874286442,0.527422198251001,19.083401454561685,0.002113800084183947,0.0,645,9605,Arterial endothelial cell,"Arterial endothelial cells are a specialized subset of endothelial cells that differentiate (via VEGF/Notch signaling) from the same mesoderm-derived angioblast/hemangioblast progenitor pool that gives rise to the general endothelial population, so their shared ancestry reflects a direct subtype–parent lineage relationship.",1
Arterial endothelial cell,Endothelial progenitor,6.311118623933415,0.119710234086759,3.504161309417384,0.0023591753722037537,0.06,645,1988,,,
Arterial endothelial cell,Epibranchial placode,5.922943711148594,0.1620922180558472,4.644233167370619,0.0027903118524320205,0.0,645,3606,,,
Arterial endothelial cell,Epibranchial sensory neuron,5.845698050545599,0.12231281925445803,3.1509291749223407,0.004128903017410843,0.17,645,1270,,,
Arterial endothelial cell,Epicardium,6.045840113699936,0.22660959931732716,7.876017853419164,0.0004188723234275877,0.0,645,1288,,,
Arterial endothelial cell,Epidermal progenitor,6.196885410707369,0.13648536898836058,4.611645729999301,0.003867088589907422,0.01,645,24337,,,
Arterial endothelial cell,Extraembryonic mesoderm,6.089229096899914,0.2467272540926988,9.867698990559743,0.008380424952978359,0.0,645,5300,,,
Arterial endothelial cell,Eye field,5.792010663787884,-0.2834839348649461,-9.07607080048205,0.00032305480513065065,0.0,645,8896,,,
Arterial endothelial cell,First heart field,6.018131762271931,0.15188604390549099,5.629997406867653,0.003648874881876039,0.0,645,1531,,,
Arterial endothelial cell,Floor plate,5.74861249799885,-0.4299370703974592,-11.567805519629822,0.0013187380437326723,0.0,645,16788,,,
Arterial endothelial cell,Foregut,5.429103382095573,-0.2307105331738087,-8.420589697169442,0.0016901294514873586,0.0,645,2432,,,
Arterial endothelial cell,Forelimb field,6.271167813711476,0.1677349860896283,5.619630975914795,0.005770950905463794,0.0,645,25891,,,
Arterial endothelial cell,Frontonasal mesenchyme,5.9814973371359565,-0.12000764934859316,-4.092181513175194,0.002127740733413106,0.0,645,24672,,,
Arterial endothelial cell,Head paraxial mesoderm,6.24458054236862,0.1719577711421613,5.990806674251837,0.0010779031994053612,0.0,645,32981,,,
Arterial endothelial cell,Hematopoietic progenitor,5.402510578995684,0.08742741350099752,1.1847073489079991,0.13073643958711462,0.7,645,87,,,
Arterial endothelial cell,Hemogenic endothelium,6.176674595037103,0.6526872365614071,9.639785076856036,0.017330724208594578,0.0,645,141,Arterial endothelial cell; Hemogenic endothelium,"Both arise from a shared hemangioblast/lateral-plate-mesoderm-derived endothelial progenitor pool, with hemogenic endothelium being an arterial-identity-specialized subset of the dorsal aorta/AGM endothelium (Notch/Runx1-driven) that undergoes endothelial-to-hematopoietic transition, so the two are essentially sibling states of the same arterial endothelial lineage.",1
