program,genes,size,active_in,name,description
P11,"Tlx2, Neurod1, Thsd7b, Ntrk1, Kcnmb2, Pou4f1, Cerkl, Tlx3, Ppp1r17, Kif19a, Coro2a, Insm1, Tmem178b, Sncb, Inka2, Nefl, Npr2, Wscd2, Kcnh1, Mreg, Ttll7",21,"Dorsal root ganglion neuron, Dorsal root ganglion progenitor, Epibranchial sensory neuron, Otic sensory neuron, Trigeminal ganglion neuron, Trigeminal sensory neuron",Sensory neuron identity,"Drives differentiation and maturation of peripheral sensory neurons across cranial and spinal ganglia. Core transcription factors Pou4f1 (Brn3a), Neurod1, Tlx3, and Insm1 establish sensory neuron fate, while Ntrk1 (TrkA) and Npr2 mediate neurotrophin signaling and axon guidance, and Nefl and Sncb reflect neuronal maturation. This program is shared across neural crest- and placode-derived sensory lineages including DRG, trigeminal, epibranchial, and otic neurons."
P12,"Otx2, Otx2os1, Otx1, Tal2, Cdh8, Erbb4, Pou3f1, Lrrc4c, Dmbx1, Cdh20, Mylk, Lmo3, Nalcn, Sorbs2, Dok6, 2510009E07Rik, Sall2, Dhx32",18,"Diencephalon, Hypothalamus, Midbrain, Midbrain neuron, Telencephalon",Otx1/2 anterior brain id,"Defines anterior brain (forebrain–midbrain) identity through the master regulators Otx1 and Otx2, which specify rostral neuroectoderm and maintain the forebrain/midbrain territory against caudal fates. Supporting transcription factors (Dmbx1, Tal2, Pou3f1, Lmo3, Sall2) and region-specific cadherins (Cdh8, Cdh20) reinforce regional patterning and early neuronal differentiation across the diencephalon, hypothalamus, midbrain, and telencephalon."
P13,"Foxg1, Six3os1, Nr2e1, Six6, Lhx2, Six3, Rax, 3110039M20Rik, Fezf1, Gm56925, Fzd5, C130093G08Rik, Shtn1, Shisa2, Gm26709, Mpped1, Cadps2",17,"Eye field, Hypothalamus, Olfactory placode, Olfactory sensory neuron, Telencephalon",Rostral forebrain/eye field,"Defines anterior forebrain and eye field identity through the core eye field transcription factor network (Six3, Six6, Rax, Lhx2) together with the telencephalic determinant Foxg1 and forebrain regulators Nr2e1 and Fezf1. This program specifies the rostral-most neural plate derivatives—eye field, hypothalamus, telencephalon, and olfactory placode—reflecting their shared origin from the anterior neural plate and common dependence on this TF regulatory module during E7.5–E10 patterning."
P14,"Gm29478, Zic1, Zic4, Wnt1, Cp, Nrg3, Zic5, ENSMUSG00000143513, Gm29266, Zic2, Gm5089, Galnt12, Gm56769, Gm57142, Clybl",15,"Diencephalon, Roof plate",Roof plate zic/wnt1,"Dorsal midline neural tube program dominated by four Zic family transcription factors (Zic1/2/4/5) and the roof plate morphogen Wnt1. Active in the diencephalon and roof plate, this program specifies dorsal neural tube identity and maintains roof plate signaling, which patterns adjacent neural progenitors along the dorsoventral axis."
P15,"Wnt8b, Fezf2, Emx2, Gm3764, Lhx5, Dmrta2, Dmrt3, Wnt7b, Emx1, Cntnap2, Emx2os, Mir9-3hg, Dmrta1, E330013P04Rik",14,Telencephalon,Dorsomedial telencephalon,"Specifies dorsomedial telencephalic identity, encompassing the cortical hem and dorsal pallium. Emx1/Emx2 and Dmrta1/Dmrta2/Dmrt3 establish dorsal pallial fate, Fezf2 contributes to cortical neuron specification, and Wnt8b/Wnt7b provide cortical hem-derived Wnt signals that pattern the medial telencephalon. Together these genes define the dorsomedial signaling and transcriptional program that drives early cortical regionalization."
P16,"En2, Pax5, Cnpy1, En1, 2610027F03Rik, Pax8, Pax2, Pcp4l1, Gm26608, Cldn10, Flrt1, Klhl14",12,Hindbrain (isthmic organizer),Isthmic organizer,"Defines the midbrain-hindbrain boundary (isthmus) organizer identity through the core En1/En2 and Pax2/Pax5/Pax8 transcription factor network, with Cnpy1 supporting FGF signaling. This program establishes and maintains the signaling center that patterns the adjacent midbrain tectum and cerebellar anlage during neural tube regionalization."
P17,"Nkx2-9, Nkx6-1, Nkx6-2, Nkx2-2, Gm38103, Vit, Spon1, Clec2l, Rnf220, Kbtbd11, Tmtc2, Ptch1",12,"Cranial motor neuron, Floor plate",Ventral nt nkx/shh patterning,"Specifies ventral neural tube identity through a battery of Nkx-class homeodomain transcription factors (Nkx2-2, Nkx2-9, Nkx6-1, Nkx6-2) acting downstream of Hedgehog signaling (Ptch1, Rnf220). Active in floor plate and cranial motor neurons, this program defines the p3 progenitor domain and floor plate fate, with Spon1 and Vit serving as floor plate effector genes involved in axon guidance and extracellular matrix organization."
P18,"9030622O22Rik, Shh, Foxa2, Foxa1, Vtn, Pkd1l1, Calca, Cobl, Ttc6, 9530036O11Rik, Arhgef28",11,"Floor plate, Foregut, Midgut, Notochord",Shh-foxa2 ventral midline,"Defines the ventral midline signaling identity shared by floor plate, notochord, and gut endoderm. Shh and the pioneer transcription factors Foxa2/Foxa1 form the core of this program, establishing the axial midline as a key organizer of dorsoventral patterning. Additional genes such as Pkd1l1 (node/notochord left-right signaling) and cytoskeletal regulators (Cobl, Arhgef28) reflect the specialized morphogenetic properties of these midline and endodermal cell types."
P19,"Msx3, Olig3, Prdm13, ENSMUSG00000139468, ENSMUSG00000139384, Grid2, Casz1, Draxin, Nppc",9,"Hindbrain (r1), Hindbrain (r2-r4), Hindbrain (r5-r8), Roof plate, Spinal cord (cervical), Spinal cord interneuron",Dorsal neural tube patterning,"Defines dorsal identity across the hindbrain and spinal cord neural tube. Msx3 and Draxin mark the dorsal midline/roof plate, while Olig3 and Prdm13 specify dorsal interneuron progenitor domains (dP1–dP6), and Casz1 contributes to neural temporal identity. This program reflects the shared dorsal patterning logic that operates along the full rostro-caudal axis of the developing CNS."
P20,"Sorcs1, Slc25a21, Shc3, D030055H07Rik, Glis3, Dtna, Pea15a",7,"Diencephalon, Eye field, Floor plate, Hindbrain (isthmic organizer), Hindbrain (r1), Hypothalamus, Midbrain, Otic placode, Primitive erythrocyte, Roof plate, Telencephalon",Pan-neural signaling,"A broadly active neural program spanning nearly all CNS regions (telencephalon through hindbrain), midline signaling centers (floor plate, roof plate, isthmic organizer), and cranial placodes. The program features neuronal signaling modulators—Shc3 (neuron-specific adaptor coupling neurotrophin/Ret receptors to survival pathways), Pea15a (ERK/MAPK pathway regulator enriched in brain), and Sorcs1 (neuronal receptor trafficking)—alongside the neural transcription factor Glis3 and the dystrophin-complex component Dtna. Together these genes suggest a heritable program that broadly establishes neural signaling competence across the developing CNS."
P21,"Pcdh8, Dll1, Nrarp, Notch1, Epha4, Lama1",6,"Nascent somite, Presomitic mesoderm",Notch somite segmentation,"Notch signaling program driving the somite segmentation clock and boundary formation in paraxial mesoderm. Core pathway components (Dll1, Notch1) and the oscillatory feedback regulator Nrarp coordinate periodic somite formation in the presomitic mesoderm, while Epha4 and Pcdh8 mediate boundary cell sorting and Lama1 contributes to basement membrane deposition at newly formed somite borders."
P22,"Ednrb, Megf10, Dpysl3, Tspan18, Crip2, Vim",6,"Allantoic endothelial progenitor, Arterial endothelial cell, Autonomic neuron, Autonomic progenitor, Endocardial cell, Endothelial cell, Trunk neural crest, Vagal neural crest",Ednrb+ migratory mesenchyme,"A migratory mesenchymal program shared between neural crest and endothelial lineages, centered on endothelin receptor B (Ednrb) signaling. The program includes cytoskeletal and migration effectors (Vim, Dpysl3, Crip2) alongside membrane-organizing and adhesion factors (Tspan18, Megf10), supporting the motile, invasive behavior common to both migrating neural crest cells and angiogenic/vasculogenic endothelium during mid-gestation development."
P23,"Stmn2, Ina, Nrxn1, Rab6b, Crmp1, Gabrb3",6,"Cranial motor neuron, Dorsal root ganglion neuron, Hypothalamic neuron, Midbrain neuron, Olfactory sensory neuron, Somatic motor neuron, Spinal cord interneuron, Trigeminal ganglion neuron",Neuronal maturation,"A pan-neuronal maturation program active across diverse CNS and PNS neuron types. It encodes cytoskeletal regulators of axon growth (Stmn2, Ina, Crmp1), a synaptic adhesion molecule (Nrxn1), a neuron-enriched vesicular trafficking GTPase (Rab6b), and a GABA-A receptor subunit (Gabrb3), collectively driving post-mitotic neuronal differentiation, axonogenesis, and early synaptogenic competence."
P24,"Lhx4, Stk32a, Mnx1, Cntn2, Nyap2, Scrt2",6,Somatic motor neuron,Mnx1/lhx4 motor neuron id,"Specifies somatic motor neuron identity through the LIM-homeodomain transcription factor code. Mnx1 (Hb9) and Lhx4 are canonical determinants of spinal motor neuron fate, while Scrt2 supports neuronal differentiation and Cntn2 mediates motor axon guidance and fasciculation. Together, this program consolidates motor neuron subtype identity and axonal connectivity."
P25,"Thsd7a, Ctnna2, Adcyap1r1, Rassf4, Akap6, Dpp6",6,"Cranial motor neuron, Floor plate, Hypothalamic neuron, Midbrain neuron, Spinal cord interneuron",Ventral cns neuron maturation,"Program associated with neuronal maturation in ventral CNS cell types, including motor neurons, floor plate, and ventral brain regions. It combines neuron-specific adhesion (Ctnna2), ion channel modulation (Dpp6, a Kv4 auxiliary subunit), neuropeptide signaling (Adcyap1r1/PAC1 receptor), and cAMP/PKA scaffolding (Akap6), together supporting the acquisition of mature neuronal properties such as excitability, synaptic connectivity, and axonal organization in ventral neural tube derivatives."
P26,"Trpm1, Slc38a8, Cntn6, A730049H05Rik, Mitf",5,Eye field,Mitf rpe specification,"Retinal pigment epithelium (RPE) identity program driven by Mitf, the master transcription factor for RPE and melanocyte lineages. Includes direct MITF targets Trpm1 and Slc38a8, both associated with pigment epithelium function and optic development. This program likely governs early RPE fate specification within the eye field, linking melanogenic gene regulation to neuroepithelial patterning of the optic vesicle."
P27,"Vstm2b, Gm19872, Ephb1, Sfrp1, Frat2",5,"Definitive endoderm, Forebrain, Hindbrain, Hindbrain (isthmic organizer), Hindbrain (r1), Hindbrain (r2-r4), Hypothalamus, Telencephalon",Neural wnt modulation,"Regulates Wnt signaling tone during brain regionalization. Sfrp1 (Wnt antagonist) and Frat2 (GSK3β inhibitor promoting Wnt) provide opposing Wnt modulatory inputs, while EphB1 and Vstm2b contribute to neural patterning. Active across forebrain, hindbrain, and isthmic organizer, consistent with the graded Wnt signaling that establishes anterior-posterior neural identity."
P28,"Irx2, Irx1, Irx5, Irx3, Crnde",5,"Anterior mesoderm, Diencephalon, Enteroendocrine progenitor, Hindbrain, Hindbrain (r1), Hindbrain (r2-r4), Midbrain, Nascent mesoderm, Spinal cord (cervical), Spinal cord (lumbar), Trigeminal sensory neuron",Irx neural patterning,"Encodes four Iroquois homeobox transcription factors (Irx1/2/3/5) from both the IrxA and IrxB genomic clusters, along with Crnde, a lncRNA embedded within the IrxB locus. Irx genes are master regulators of regional identity along the neural tube, specifying intermediate and dorsal domains in the spinal cord and establishing boundaries between brain compartments (diencephalon, midbrain, hindbrain). Activity across broad CNS regions and nascent/anterior mesoderm reflects the conserved role of Irx factors in anteroposterior and dorsoventral patterning during early organogenesis."
P29,"Sfta3-ps, Nkx2-1, Nkx2-4, ENSMUSG00000130333",4,Hypothalamus,Nkx2-1/2-4 hypothalamic tf,"Encodes the Nkx2-1 and Nkx2-4 homeobox transcription factor program specifying ventral forebrain and hypothalamic identity. Nkx2-1 is a master regulator of hypothalamic primordium development, and Nkx2-4 acts as a closely related paralog in the same domain. Co-expression of Sfta3-ps likely reflects the broader Nkx2-1 regulatory network."
P30,"Pax3, Pax7, Boc, Cdon",4,"Dermomyotome, Hindbrain (r1), Hindbrain (r5-r8), Hypaxial myogenic progenitor, Roof plate, Sacral neural crest, Spinal cord (cervical)",Pax3/7 dorsal progenitor,"Defines the Pax3/Pax7 transcription factor program active in dorsal progenitor domains, including the dermomyotome, dorsal neural tube, and neural crest. Boc and Cdon are Hedgehog co-receptors co-expressed with Pax3/7 in these tissues, where they modulate Shh responsiveness in dorsally positioned progenitors. This program underlies the shared regulatory identity of myogenic progenitors, roof plate, and dorsal spinal cord cells."
P31,"Wfdc1, Mab21l2, Egfem1, Gm37965",4,"Diencephalon, Eye field, Lens placode, Midbrain, Midbrain neuron",Mab21l2+ eye-midbrain,"Program centered on Mab21l2, a transcription factor essential for optic cup and lens morphogenesis, active across the eye field, lens placode, diencephalon, and midbrain. This program likely reflects a shared anterior neural plate regulatory module linking eye and midbrain specification, consistent with the developmental origin of the optic vesicle from the diencephalon."
P32,"Slc44a5, Mapk10, Pth2r, Mn1",4,Hindbrain (r1),R1 neuronal identity,"Defines neuronal identity in rhombomere 1, the precursor to the cerebellum. Mn1 is a transcription factor critical for hindbrain and craniofacial development, while Mapk10 (JNK3) is a brain-enriched MAP kinase involved in neuronal signaling. Pth2r (neuropeptide receptor) and Slc44a5 (choline transporter) further reflect the specialized signaling and metabolic character of r1-derived neurons."
P33,"Tnnt2, Nkx2-5, Unc45b, Myl4, Tnni1, Cripto, Csrp3, Myl7, Ankrd1, Sfrp5, Myh6, Ttn, Mybpc3, Cryab, Tnnc1, Popdc2, Myh7, Ldb3, Gm12295, Hspb2, Ryr2, 5430431A17Rik, Myocd, Hspb7, Myl3, Pgam2, Acta2, Asb2, Mylk3, Smyd1, Trim55, Sphkap, Cnn1, Vsnl1, Ctnna3, Actc1, Sh3bgr, Lrrc10, Tecrl, Rrad, Hspb1, Acta1, Apobec2, Rassf5, Thbs4, Myl2, Abra, Ccdc141, Tnni3, Synpo2l, Atcayos, Myl1, Ppp1r14c, Hspb3, Hrc, Cox6a2, Trdn, Lrrc39, Xirp1, Nebl, ENSMUSG00000132265, Plppr5, Ramp1, Nppb, Myo18b, Tmod1, Tagln, Kcng2, Hcn1, Nppa, Hcn4, Des, Cacna1d, ENSMUSG00000140392, Filip1, Myom1, Alpk2, Rbm24, Tcap, Mical2, Rgs6, Mlip, Cacna2d2, Rcsd1, Fbxl22, Pdlim3, Chchd10, Nexn, Casq1, Fsd2, Pakap-1, Pakap, Jph2, Lmod2, Fitm1, Slc24a2, Fabp3, Smarcd3, Gm30786, Pnmt, Lmod1, Cacna1c, Fbxo32, Kcnj5, 4930512H18Rik, Gm47493, Cap2, Bves, ENSMUSG00000143351, Adm, Obscn, Alpk3, Slc8a1, Ptges3l, Rec114, Styxl2, Mybphl, Trim63, Kcnmb1, Crip1, Gm41505, Klhl31, Atp1b1, Ptk2b, Gyg1, Grb14, Homer2, Prkaa2, Ak1, Adss1, Efhd2",131,"First heart field, Second heart field",Cardiomyocyte contraction,"Encodes the core cardiomyocyte contractile machinery, including sarcomeric components (Tnnt2, Myl4, Myh6, Myh7, Ttn, Mybpc3, Actc1), calcium handling proteins (Ryr2, Casq1, Slc8a1, Jph2), and cardiac ion channels (Hcn4, Cacna1c, Kcnj5). Driven by the master cardiac transcription factor Nkx2-5 alongside Myocd and Smyd1, this program assembles the complete sarcomere and excitation-contraction coupling apparatus required for functional beating cardiomyocytes in both heart fields."
P34,"Kdr, Aplnr, Hhex, Cdh5, Rasgrp3, Emcn, Esam, Icam2, Erg, Cldn5, Flt1, Cd34, Sox18, Etv2, Sox17, Tal1, Gimap6, Tie1, D030007L05Rik, Cd93, Clec1b, Ctla2a, Plvap, Tgfb1, Vamp5, Gng11, Adgrl4, Klhl6, Rasip1, Adgrf5, 4930542D17Rik, Acvrl1, Tfpi, Eng, Ecscr, Mmrn1, Ramp2, Ptprb, Myct1, Lcp1, Grap, Gngt2, Pecam1, Abi3, She, Myzap, Sox7, Gm20532, Flt4, Stab1, Csgalnact1, Plxnd1, Samsn1, Scarf1, Exoc3l4, Rapgef4, Fgd5, Inpp5d, Gimap1, Gimap4, Dysf, Trpc6, Fxyd5, Clec14a, Ppp1r13b, Pdgfb, Calcrl, S1pr1, Arap3, Dusp2, Tlr4, Tnfaip2, Cd38, Thsd1, Shank3, Egfl7",76,"Allantoic endothelial progenitor, Arterial endothelial cell, Endocardial cell, Endothelial cell, Endothelial progenitor",Core endothelial identity,"Defines core endothelial cell identity and specification. This program encompasses the master endothelial transcription factors (Etv2, Erg, Tal1, Sox17/18/7, Hhex), canonical surface markers (Cdh5, Pecam1, Cd34, Esam, Emcn), VEGF signaling receptors (Kdr, Flt1, Flt4), and endothelial junction/adhesion molecules (Cldn5, Icam2, Rasip1). Its broad activation across all endothelial lineages—from progenitors to arterial and endocardial cells—marks it as the foundational program establishing and maintaining endothelial fate during vasculogenesis."
P35,"Postn, Lum, Prss35, Ccn4, Pitx2, Dcn, Serpinb6b, Dkk2, Creb3l1, Smoc2, Fas, Tek, Colec11, Bmp2, Dubr, Gas6, Emp2, Adamts2, Zfpm2, Svep1, Wnt11, Col5a2, Col6a3, Myof, Igsf11, Gm56862, Rarres2, Cd248, Angpt4, Gpx3, Nrp1, Ndrg1, P4ha2, G0s2, Steap1, Anxa3, Steap2, Flnc, Serpinb9, Col5a1, Aard, Tmem108, Me1, Smim1, Anxa6, Glipr2, Fam114a1, Anxa5, Tgfbr3, Sec24d, Sparc, Fbn1, Spats2l, Copz2, Tubb2a, Tubb6, Rhoc, Ghr, Csrp1, Creb3l2, Rcn3",61,Extraembryonic mesoderm,Exm stromal ecm production,"Defines an extracellular matrix-producing stromal program in extraembryonic mesoderm, marked by extensive collagen (Col5a1, Col5a2, Col6a3) and matricellular protein expression (Postn, Sparc, Lum, Dcn, Fbn1, Smoc2) alongside dedicated collagen biosynthesis and secretion machinery (P4ha2, Adamts2, Creb3l1/2, Sec24d, Rcn3). Signaling inputs from BMP2, Wnt11, and TGF-beta (Tgfbr3), combined with the stromal marker Cd248 and transcription factors Pitx2 and Zfpm2, indicate a specialized connective tissue identity that builds the structural scaffold of extraembryonic membranes."
